"","x"
"1",1
"2",1
"3",1
"4",1
"5",1
"6",1
"7",0
"8",0
"9",1
"10",1
"11",0
"12",0
"13",0
"14",0
"15",1
"16",1
"17",1
"18",0
"19",0
"20",1
"21",1
"22",0
"23",1
"24",1
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",0
"32",1
"33",1
"34",1
"35",1
"36",1
"37",0
"38",0
"39",1
"40",1
"41",0
"42",0
"43",1
"44",0
"45",1
"46",0
"47",0
"48",0
"49",0
"50",0
"51",1
"52",0
"53",1
"54",0
"55",1
"56",1
"57",1
"58",1
"59",0
"60",0
"61",1
"62",0
"63",1
"64",1
"65",1
"66",0
"67",1
"68",1
"69",1
"70",1
"71",1
"72",0
"73",0
"74",1
"75",1
"76",1
"77",1
"78",0
"79",0
"80",1
"81",0
"82",1
"83",1
"84",0
"85",1
"86",1
"87",1
"88",1
"89",0
"90",1
"91",1
"92",1
"93",1
"94",1
"95",0
"96",1
"97",1
"98",1
"99",1
"100",1
"101",1
"102",0
"103",1
"104",1
"105",0
"106",0
"107",1
"108",0
"109",1
"110",1
"111",1
"112",1
"113",1
"114",1
"115",1
"116",1
"117",0
"118",0
"119",0
"120",0
"121",1
"122",0
"123",1
"124",0
"125",1
"126",0
"127",1
"128",0
"129",1
"130",0
"131",1
"132",1
"133",0
"134",0
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",1
"142",1
"143",1
"144",1
"145",1
"146",1
"147",1
"148",1
"149",1
"150",0
"151",1
"152",1
"153",0
"154",0
"155",1
"156",0
"157",1
"158",1
"159",0
"160",1
"161",1
"162",0
"163",1
"164",0
"165",1
"166",0
"167",1
"168",1
"169",1
"170",1
"171",1
"172",0
"173",1
"174",1
"175",1
"176",0
"177",1
"178",1
"179",1
"180",1
"181",0
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",0
"190",1
"191",1
"192",1
"193",1
"194",0
"195",0
"196",0
"197",0
"198",1
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",0
"213",1
"214",1
"215",1
"216",0
"217",0
"218",1
"219",0
"220",0
"221",0
"222",1
"223",1
"224",1
"225",1
"226",1
"227",0
"228",1
"229",1
"230",0
"231",1
"232",1
"233",1
"234",1
"235",0
"236",1
"237",1
"238",1
"239",1
"240",1
"241",0
"242",1
"243",1
"244",0
"245",0
"246",1
"247",1
"248",1
"249",1
"250",0
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",0
"261",1
"262",1
"263",1
"264",0
"265",1
"266",1
"267",1
"268",1
"269",0
"270",1
"271",1
"272",1
"273",1
"274",0
"275",1
"276",1
"277",1
"278",1
"279",1
"280",1
"281",1
"282",1
"283",0
"284",1
"285",1
"286",1
"287",0
"288",1
"289",1
"290",1
"291",1
"292",1
"293",1
"294",1
"295",1
"296",0
"297",1
"298",1
"299",0
"300",1
"301",1
"302",1
"303",1
"304",1
"305",0
"306",0
"307",1
"308",0
"309",1
"310",0
"311",0
"312",0
"313",0
"314",0
"315",1
"316",1
"317",1
"318",0
"319",1
"320",1
"321",0
"322",0
"323",0
"324",1
"325",1
"326",0
"327",1
"328",1
"329",1
"330",1
"331",1
"332",0
"333",1
"334",1
"335",0
"336",1
"337",0
"338",1
"339",1
"340",0
"341",1
"342",1
"343",1
"344",1
"345",0
"346",1
"347",1
"348",1
"349",1
"350",1
"351",1
"352",1
"353",0
"354",0
"355",1
"356",0
"357",1
"358",1
"359",0
"360",1
"361",1
"362",1
"363",0
"364",1
"365",1
"366",1
"367",1
"368",1
"369",1
"370",1
"371",1
"372",1
"373",1
"374",0
"375",1
"376",0
"377",0
"378",1
"379",1
"380",1
"381",0
"382",1
"383",0
"384",1
"385",1
"386",1
"387",1
"388",1
"389",1
"390",1
"391",0
"392",1
"393",0
"394",0
"395",0
"396",1
"397",0
"398",0
"399",0
"400",1
"401",1
"402",1
"403",1
"404",0
"405",1
"406",1
"407",0
"408",0
"409",0
"410",1
"411",1
"412",0
"413",0
"414",0
"415",1
"416",1
"417",0
"418",1
"419",0
"420",1
"421",1
"422",1
"423",1
"424",1
"425",1
"426",0
"427",1
"428",0
"429",1
"430",1
"431",0
"432",1
"433",0
"434",1
"435",1
"436",0
"437",1
"438",1
"439",1
"440",1
"441",1
"442",1
"443",1
"444",1
"445",0
"446",1
"447",1
"448",1
"449",0
"450",1
"451",1
"452",1
"453",0
"454",1
"455",1
"456",1
"457",0
"458",1
"459",1
"460",0
"461",0
"462",1
"463",1
"464",0
"465",1
"466",1
"467",1
"468",1
"469",1
"470",1
"471",1
"472",1
"473",1
"474",1
"475",1
"476",1
"477",1
"478",1
"479",1
"480",1
"481",1
