"","x"
"1",1570.28186524468
"2",1653.80218524044
"3",1609.46835281082
"4",1279.08718913074
"5",1451.69840382889
"6",1466.64228267189
"7",1351.85429242151
"8",1811.7090895365
"9",1429.51347899163
"10",1519.51681466428
"11",1508.29942424202
"12",1700.13285834622
"13",1802.56482646105
"14",1208.44805969769
"15",1429.77785164803
"16",1831.84677252564
"17",1307.32282547538
"18",1445.16207784585
"19",1626.56207849665
"20",1490.80505503406
"21",1473.3994189327
"22",1911.52783111087
"23",1222.1388908619
"24",1609.60067586998
"25",1669.77108116961
"26",1700.91443717074
"27",1490.03286501091
"28",1481.72131207554
"29",1824.65119215882
"30",1574.50766798414
"31",1572.59454858015
"32",1654.92499800894
"33",1646.42860780921
"34",1653.68414759387
"35",1479.12043382247
"36",1345.53997420728
"37",1612.58771333805
"38",1521.395066605
"39",1355.75603338932
"40",1272.95118566771
"41",1359.3942147766
"42",1368.38965135802
"43",1461.67274293811
"44",1711.5347315213
"45",1780.1718693975
"46",1706.51455485726
"47",1520.530817235
"48",1841.86386884608
"49",1203.53232178048
"50",1645.86164685087
"51",1643.13183463865
"52",1732.08609643434
"53",1545.31026422048
"54",1302.44170057331
"55",1606.6542449518
"56",1255.77670184022
"57",1135.81989050202
"58",1459.8083619182
"59",1496.67974272868
"60",1290.47690370117
"61",1249.26622010401
"62",1691.06333591113
"63",1586.24959125318
"64",1535.3976944721
"65",1195.94661715494
"66",1446.15747228168
"67",1622.92296542281
"68",1438.88991601592
"69",1491.62371048281
"70",1623.34616908831
"71",1311.75233923823
"72",1846.26327766448
"73",1426.90391281057
"74",1649.54276111324
"75",1896.67287752027
"76",1686.2334288488
"77",1375.5920538372
"78",1435.00825482814
"79",1505.83863121394
"80",1928.1897847981
"81",1506.37308640496
"82",1475.62070328302
"83",1443.9415548079
"84",1575.45505648489
"85",1472.51805661337
"86",1534.87749897385
"87",1885.7969766819
"88",1472.2294875133
"89",1379.28854687484
"90",1269.98610339723
"91",1689.22180200091
"92",1663.67421231559
"93",1563.03322431881
"94",1383.16418658138
"95",1588.90771637609
"96",1457.09406529352
"97",1454.32756296963
"98",1442.8821182514
"99",1757.79645862399
"100",1526.40739419858
"101",1164.22031816639
"102",1413.45505058538
"103",1675.67984008854
"104",1453.81658432156
"105",1253.77361531249
"106",1297.90035715606
"107",1544.78735666365
"108",1595.65806555405
"109",1231.03259485918
"110",1261.46668419897
"111",1449.71668901989
"112",1459.68751160903
"113",1658.65079301017
"114",1499.69450253065
"115",1560.34378683283
"116",1583.4274731417
"117",1468.19238389564
"118",1600.1797633731
"119",1568.38457656652
"120",1429.70927842077
"121",1490.64016773014
"122",1567.2947132814
"123",1754.22658347787
"124",1344.65011688872
"125",1280.4080604364
"126",1412.79729588621
"127",1456.33203667416
"128",1491.6778923077
"129",1920.76493814236
"130",1938.78523575891
"131",1669.15844138021
"132",1346.49811756706
"133",1585.32524611662
"134",1390.64912293825
"135",1645.12152638187
"136",1230.38153939964
"137",1549.51772566116
"138",1422.8128035242
"139",1292.8906513465
"140",1647.944236317
"141",1111.45948364749
"142",1534.89497742349
"143",1252.9765840358
